Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Year
962155,2017-10-17,New York,Brooklyn,181 Martense St,0,4,0,0,0,,2017
962623,2017-10-16,Mississippi,Meridian,6010 5th St,1,3,0,0,2,,2017
960036,2017-10-15,Texas,Houston,6233 Gulfton St,2,2,0,0,0,,2017
959126,2017-10-15,Arizona,Phoenix,107th Ave and Camelback Rd,1,3,0,0,0,,2017
957980,2017-10-12,California,Aliso Viejo,6 Asbury Ct,2,2,0,0,1,,2017
957562,2017-10-11,Ohio,Pedro,15497 SR 93,4,0,0,0,1,,2017
956990,2017-10-10,California,Long Beach,1601 E Anaheim St,2,2,0,0,2,,2017
956942,2017-10-10,California,San Francisco,25th St and Treat Ave,0,4,0,0,0,,2017
955268,2017-10-09,Texas,Houston,3352 Old Spanish Trail,0,5,0,0,0,,2017
954428,2017-10-07,Arizona,Phoenix,87th Ave and Thomas Rd,0,4,0,0,0,,2017
953156,2017-10-06,Illinois,Chicago,8000 block of S Marshfield,0,5,0,0,0,,2017
952720,2017-10-05,Arizona,Casa Grande,400 block of W 13th Street,4,0,0,0,2,,2017
952220,2017-10-03,Florida,Miami,2051 NW 65th St,0,4,0,0,0,,2017
945990,2017-10-01,Kansas,Lawrence,1000 block of Massachusetts St,3,2,0,0,3,,2017
946496,2017-10-01,Nevada,Las Vegas,3950 Las Vegas Blvd S,58,441,1,0,0,,2017
946138,2017-09-30,Tennessee,Memphis,800 block of Kerr Avenue,1,3,0,0,0,,2017
944448,2017-09-28,Louisiana,New Orleans,2001 N Rocheblave St,1,3,0,0,0,,2017
942628,2017-09-26,Pennsylvania,Philadelphia,100 block of Pastorius St,1,3,0,0,1,,2017
942522,2017-09-26,Tennessee,Memphis,2531 Chelsea Ave,0,4,0,0,1,,2017
942830,2017-09-26,Maryland,Baltimore,3200 block of Lyndale Ave,2,2,0,0,0,,2017
941144,2017-09-24,Maryland,Baltimore,500 block of E. Patapsco Avenue,0,4,0,0,0,,2017
940554,2017-09-24,Tennessee,Antioch,3890 Pin Hook Rd,1,7,0,1,1,,2017
940644,2017-09-24,New York,Syracuse,1226 E Fayette St,0,4,0,0,0,,2017
1974755,2017-09-24,Pennsylvania,Philadelphia,3400 block of H St,0,4,0,0,0,,2017
941257,2017-09-24,New Jersey,Mays Landing,6000 block of Hoover Dr,1,3,0,0,1,,2017
939834,2017-09-23,California,Bakersfield,818 Real Rd,1,4,0,0,3,,2017
940068,2017-09-23,Illinois,Danville,Seminary St and Jackson St,0,5,0,0,0,,2017
940142,2017-09-23,Connecticut,Hartford,1164 Albany Ave,2,2,0,0,1,,2017
939482,2017-09-20,Indiana,Gary,4300 block of 23rd Ct,0,5,0,0,0,,2017
936028,2017-09-17,Michigan,Detroit,5000 block of Stanton Street,1,3,0,0,0,,2017
935928,2017-09-17,Virginia,Petersburg,300 Mistletoe St,1,4,0,0,3,,2017
934036,2017-09-16,South Carolina,Columbia,920 Lady Street,0,7,0,1,4,,2017
933957,2017-09-15,Illinois,Chicago,4700 block of S Fairfield Ave,4,0,0,0,0,,2017
932526,2017-09-13,Tennessee,Memphis,1000 block of Morehead St,1,5,0,0,0,,2017
932181,2017-09-13,Washington,Rockford,14626 S Jackson Rd,1,3,0,0,1,,2017
932906,2017-09-13,Pennsylvania,York,400 block of S Duke St,0,4,0,0,0,,2017
932619,2017-09-13,Pennsylvania,Philadelphia,3100 block of N 2nd St,0,4,0,0,0,,2017
930569,2017-09-10,Texas,Plano,1712 West Spring Creek Parkway,8,1,1,0,0,,2017
930266,2017-09-10,Louisiana,New Orleans,2101 N Claiborne Ave,1,3,0,0,1,,2017
931139,2017-09-09,Alabama,Selma,Kings Bend Road,0,4,0,0,0,,2017
928380,2017-09-06,Illinois,Chicago,2700 block of Madison,0,4,0,0,0,,2017
927277,2017-09-04,Illinois,Bellwood,1000 block of Bellwood Ave,0,4,0,0,0,,2017
926766,2017-09-03,California,Inglewood,10100 block of S Firmona Ave,2,3,0,0,1,,2017
925809,2017-09-02,Kentucky,Louisville,8008 Watterson Trl,0,4,0,0,2,,2017
925436,2017-09-02,Illinois,Chicago,8300 block of S Hermitage,1,3,0,0,0,,2017
922184,2017-08-28,New Mexico,Clovis,701 N Main St,2,4,0,0,1,,2017
921733,2017-08-27,California,Sacramento,7760 24th St,1,4,0,0,3,,2017
921653,2017-08-27,Indiana,Evansville,1127 Chestnut St,1,3,0,0,1,,2017
921289,2017-08-25,Florida,Gainesville,1600 NE 8th Ave,0,4,0,0,1,,2017
920513,2017-08-24,Missouri,Saint Louis,10400 block of Balmoral Dr,4,0,0,0,1,,2017
918204,2017-08-22,Illinois,Chicago,300 block of N Central Ave,0,4,0,0,0,,2017
917793,2017-08-21,New Jersey,Newark,Fabyan Place,0,4,0,0,0,,2017
918061,2017-08-21,New Jersey,Newark,700 block of S 19th St,1,3,0,0,0,,2017
917820,2017-08-21,North Carolina,Whitakers,980 Fishing Creek Rd,4,0,0,0,1,,2017
917713,2017-08-21,Maryland,Baltimore,Cottage Avenue and Park Heights Avenue,1,3,0,0,1,,2017
917838,2017-08-21,Tennessee,Memphis,262 Decatur St,0,4,0,0,0,,2017
916808,2017-08-20,New York,Brooklyn,100th St and Ave M,0,4,0,0,0,,2017
916848,2017-08-20,Illinois,Chicago,11901 S Loomis St,2,5,0,0,0,,2017
916551,2017-08-19,Ohio,Cleveland,11143 Superior Ave,1,4,0,0,3,,2017
914819,2017-08-16,New York,Wyandanch,Merritt Ave and 15th St,0,4,0,0,0,,2017
913924,2017-08-14,California,North Hollywood,Morrison St and Klump Ave,2,2,0,0,0,,2017
912805,2017-08-13,Pennsylvania,Philadelphia,39th St and Melon St,0,5,0,0,0,,2017
912322,2017-08-13,California,Sacramento,4000 Block of Martin Luther King Jr Blvd,0,4,0,0,0,,2017
912375,2017-08-13,Virginia,Suffolk,8700 block of Quay Rd,0,4,0,0,0,,2017
912093,2017-08-12,Missouri,Saint Louis,12310 Bellefontaine Rd,1,3,0,0,1,,2017
909423,2017-08-08,Illinois,Chicago,50 block of E 37th St,1,6,0,0,0,,2017
907555,2017-08-06,New York,Bronx,Wickham Ave,0,6,0,0,1,,2017
907546,2017-08-06,New York,Bronx,Unionport Rd,0,4,0,0,0,,2017
907857,2017-08-06,California,Oakland,1000 block of 106th Avenue,0,7,0,0,0,,2017
907247,2017-08-05,New Jersey,Lakewood,900 block of Brook Road,0,4,0,0,0,,2017
907611,2017-08-05,South Carolina,Allendale,300 block of Ellis St,1,3,0,0,0,,2017
906568,2017-08-05,Florida,Tallahassee,1939 W Tennessee St,1,3,0,0,0,,2017
906509,2017-08-04,Montana,Lodge Grass,200 block of North Helen Street,3,2,0,0,0,,2017
906126,2017-08-03,District of Columbia,Washington,3426 18th St NE,1,3,0,0,0,,2017
904329,2017-08-02,Maryland,Baltimore,900 block of N Broadway,0,4,0,0,0,,2017
903853,2017-08-01,Illinois,Chicago,800 block of N Monticello Ave,0,4,0,0,0,,2017
904106,2017-08-01,Washington,Toppenish,8000 Block of Lateral C Rd,0,6,0,0,1,,2017
904026,2017-08-01,California,Fresno,Mariposa St and A St,0,7,0,0,0,,2017
903090,2017-07-31,Illinois,Decatur,Jasper St and Main St,0,4,0,0,0,,2017
902187,2017-07-30,Texas,El Paso,1810 George Dieter Dr,1,3,0,0,1,,2017
901549,2017-07-30,Virginia,Norfolk,1500 block of Azalea Garden Rd,1,5,0,0,1,,2017
901083,2017-07-29,New York,Buffalo,200 block of Carl St,1,4,0,0,0,,2017
901000,2017-07-29,North Carolina,Salisbury,115 W Fisher St,2,3,0,0,2,,2017
900963,2017-07-28,Delaware,Wilmington,400 block of N Washington St,0,4,0,0,0,,2017
900387,2017-07-27,Illinois,Chicago,2000 block of E 71st St,1,4,0,0,0,,2017
898631,2017-07-26,North Carolina,High Point,2111 E. Green Drive,1,6,0,0,0,,2017
898448,2017-07-25,Florida,Jacksonville,1040 Golfair Boulevard,1,3,0,0,2,,2017
896444,2017-07-23,Illinois,Chicago,1500 block of East 82nd St,1,3,0,0,0,,2017
896889,2017-07-23,Louisiana,Baton Rouge,10360 Ave H,0,4,0,0,4,,2017
896149,2017-07-22,Ohio,Cincinnati,130 E Clifton Ave,0,5,0,0,1,,2017
893690,2017-07-19,Virginia,Richmond,2300 block of Bethel St,0,5,0,0,0,,2017
894504,2017-07-19,California,Los Angeles,Imperial Hwy and Broadway,1,3,0,0,0,,2017
893726,2017-07-18,Wisconsin,Milwaukee,3000 block of N 39th St,0,4,0,0,0,,2017
893712,2017-07-18,New Jersey,Trenton,Hewitt St and Division St,1,3,0,0,0,,2017
893752,2017-07-18,Arizona,El Mirage,NW Grand Ave and W Thunderbird Rd,0,4,0,0,0,,2017
891291,2017-07-15,Pennsylvania,Philadelphia,21st and Fitzwater,1,3,0,0,0,,2017
891092,2017-07-15,Illinois,Chicago,12200 block of S Throop St,0,4,0,0,0,,2017
886564,2017-07-09,Virginia,Lawrenceville,500 block of Sturgeon Rd,0,7,0,0,0,,2017
